key,message
string,string
test1,测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试测试
test2,测试2测试2测试2测试2测试2测试2测试2测试2测试2测试2测试2测试2测试2测试2测试2测试2测试2
browser_begin_01,电脑中一定还存着一些线索，看看能不能从浏览器里发现什么。
browser_end_01,为什么会有这么多关于普通人因为明星事件被网暴，人肉的搜索记录？难道……
browser_note,小助理生前浏览过很多素人被明星粉丝网暴的消息，这让小助理不由得怀疑，自己是不是被……
canlendar_begin_01,用来记录日程的日历，16号这一天被圈上了，是有什么要紧的事情吗？
calendar_end_01,16号这条一定是发什么了什么！！想一想这一天除了工作，还发生过什么特别的事……想起来了，是明星的生日会！
calendar_note,日历上的16号被圈了起来，甚至每一天都变成了16号，这提醒着小助理去仔细回忆起发生在本月16号的事情，明星的生日会。
closet_begin_01,衣柜打开，是一些小助理平时并不会穿的服装风格。
closet_end_01,为什么会有这么多平时并不会买的不同风格的衣服呢，是为了乔装？是为了不让别人认出自己？
closet_note_01,小助理想起自己买了这么多平时不穿的衣服，是因为她想伪装成别人的样子，怕自己出门被认出。
closet_begin_02,衣柜被再次打开，小助理觉得衣柜里还有一些被忽略的记忆。
closet_end_02,衣服……？！小助理想起来了，就是衣服，一切的源头来自拿错的一件衣服！
closet_note_02,小助理再次打开衣柜，记忆逐渐清晰，她想起来了，自己内心的恐惧来源于一件拿错了的衣服。